statecode,countyname,reported_propertytype,bldg_count
AK,Prince of Wales-Hyder Census Area,Retail,4
AK,Prince of Wales-Hyder Census Area,Specialty,4
AK,Sitka City and Borough,Hospitality,6
AK,Sitka City and Borough,Industrial,3
AK,Sitka City and Borough,Multi-Family,8
AK,Sitka City and Borough,Office,6
AK,Sitka City and Borough,Retail,18
AK,Sitka City and Borough,Specialty,2
AK,Skagway Municipality,Office,1
AK,Skagway Municipality,Retail,5
AK,Skagway Municipality,Specialty,1
AK,Southeast Fairbanks Census Area,Hospitality,5
AK,Southeast Fairbanks Census Area,Industrial,4
AK,Southeast Fairbanks Census Area,Multi-Family,3
AK,Southeast Fairbanks Census Area,Office,4
AK,Southeast Fairbanks Census Area,Retail,14
AK,Southeast Fairbanks Census Area,Specialty,2
AK,Valdez-Cordova Census Area,Hospitality,12
AK,Valdez-Cordova Census Area,Industrial,7
AK,Valdez-Cordova Census Area,Multi-Family,4
AK,Valdez-Cordova Census Area,Office,2
AK,Valdez-Cordova Census Area,Retail,23
AK,Valdez-Cordova Census Area,Specialty,5
AK,Wrangell City and Borough,Hospitality,1
AK,Wrangell City and Borough,Multi-Family,1
AK,Wrangell City and Borough,Retail,4
AK,Wrangell City and Borough,Specialty,1
AK,Yakutat City and Borough,Hospitality,1
AK,Yakutat City and Borough,Industrial,1
AK,Yukon-Koyukuk Census Area,Hospitality,1
AK,Yukon-Koyukuk Census Area,Industrial,1
AK,Yukon-Koyukuk Census Area,Office,1
AK,Yukon-Koyukuk Census Area,Retail,4
AK,Yukon-Koyukuk Census Area,Specialty,2
AL,Autauga County,Flex,4
AL,Autauga County,Health Care,1
AL,Autauga County,Hospitality,7
AL,Autauga County,Industrial,34
AL,Autauga County,Multi-Family,21
AL,Autauga County,Office,84
AL,Autauga County,Retail,184
AL,Autauga County,Specialty,13
AL,Baldwin County,Flex,64
AL,Baldwin County,Health Care,17
AL,Baldwin County,Hospitality,65
AL,Baldwin County,Industrial,374
AL,Baldwin County,Multi-Family,199
AL,Baldwin County,Office,808
AL,Baldwin County,Retail,1594
AL,Baldwin County,Specialty,236
AL,Baldwin County,Sports & Entertainment,13
AL,Barbour County,Hospitality,4
AL,Barbour County,Industrial,17
AL,Barbour County,Multi-Family,20
AL,Barbour County,Office,22
AL,Barbour County,Retail,108
AL,Barbour County,Specialty,10
AL,Barbour County,Sports & Entertainment,2
AL,Bibb County,Flex,1
AL,Bibb County,Industrial,9
AL,Bibb County,Multi-Family,10
AL,Bibb County,Office,19
AL,Bibb County,Retail,53
AL,Bibb County,Specialty,5
AL,Blount County,Flex,3
AL,Blount County,Health Care,1
AL,Blount County,Industrial,40
AL,Blount County,Multi-Family,17
AL,Blount County,Office,35
AL,Blount County,Retail,153
AL,Blount County,Specialty,14
AL,Blount County,Sports & Entertainment,3
AL,Bullock County,Industrial,5
AL,Bullock County,Multi-Family,4
AL,Bullock County,Office,10
AL,Bullock County,Retail,22
AL,Bullock County,Specialty,3
AL,Butler County,Flex,1
AL,Butler County,Health Care,1
AL,Butler County,Hospitality,5
AL,Butler County,Industrial,20
AL,Butler County,Multi-Family,18
AL,Butler County,Office,23
AL,Butler County,Retail,110
AL,Butler County,Specialty,10
AL,Calhoun County,Flex,28
AL,Calhoun County,Health Care,8
AL,Calhoun County,Hospitality,11
AL,Calhoun County,Industrial,164
AL,Calhoun County,Multi-Family,88
AL,Calhoun County,Office,260
AL,Calhoun County,Retail,706
AL,Calhoun County,Specialty,42
AL,Calhoun County,Sports & Entertainment,6
AL,Chambers County,Flex,2
AL,Chambers County,Health Care,1
AL,Chambers County,Hospitality,2
AL,Chambers County,Industrial,30
AL,Chambers County,Multi-Family,14
AL,Chambers County,Office,39
AL,Chambers County,Retail,110
AL,Chambers County,Specialty,12
AL,Cherokee County,Flex,1
AL,Cherokee County,Health Care,2
AL,Cherokee County,Hospitality,3
AL,Cherokee County,Industrial,7
AL,Cherokee County,Multi-Family,12
AL,Cherokee County,Office,14
AL,Cherokee County,Retail,84
AL,Cherokee County,Specialty,13
AL,Chilton County,Flex,8
AL,Chilton County,Health Care,5
AL,Chilton County,Hospitality,3
AL,Chilton County,Industrial,42
AL,Chilton County,Multi-Family,16
AL,Chilton County,Office,74
AL,Chilton County,Retail,250
AL,Chilton County,Specialty,18
AL,Chilton County,Sports & Entertainment,2
AL,Choctaw County,Health Care,1
AL,Choctaw County,Industrial,2
AL,Choctaw County,Multi-Family,5
AL,Choctaw County,Office,4
AL,Choctaw County,Retail,31
AL,Choctaw County,Specialty,4
AL,Clarke County,Health Care,1
AL,Clarke County,Hospitality,4
AL,Clarke County,Industrial,14
AL,Clarke County,Multi-Family,19
AL,Clarke County,Office,23
AL,Clarke County,Retail,112
AL,Clarke County,Specialty,9
AL,Clay County,Flex,1
AL,Clay County,Health Care,1
AL,Clay County,Industrial,9
AL,Clay County,Multi-Family,4
AL,Clay County,Office,5
AL,Clay County,Retail,22
AL,Clay County,Specialty,5
AL,Cleburne County,Flex,1
AL,Cleburne County,Industrial,12
AL,Cleburne County,Multi-Family,6
AL,Cleburne County,Office,9
AL,Cleburne County,Retail,40
AL,Cleburne County,Specialty,8
AL,Coffee County,Flex,3
AL,Coffee County,Health Care,3
AL,Coffee County,Hospitality,7
AL,Coffee County,Industrial,27
AL,Coffee County,Multi-Family,30
AL,Coffee County,Office,54
AL,Coffee County,Retail,193
AL,Coffee County,Specialty,14
AL,Colbert County,Flex,10
AL,Colbert County,Health Care,4
AL,Colbert County,Hospitality,4
AL,Colbert County,Industrial,305
AL,Colbert County,Multi-Family,27
AL,Colbert County,Office,78
AL,Colbert County,Retail,323
AL,Colbert County,Specialty,48
AL,Conecuh County,Hospitality,1
AL,Conecuh County,Industrial,12
AL,Conecuh County,Multi-Family,8
AL,Conecuh County,Office,8
AL,Conecuh County,Retail,43
AL,Coosa County,Flex,3
AL,Coosa County,Industrial,5
AL,Coosa County,Multi-Family,5
AL,Coosa County,Office,6
AL,Coosa County,Retail,18
AL,Coosa County,Specialty,3
AL,Covington County,Health Care,1
AL,Covington County,Hospitality,6
AL,Covington County,Industrial,12
AL,Covington County,Multi-Family,13
AL,Covington County,Office,39
AL,Covington County,Retail,136
AL,Covington County,Specialty,10
AL,Crenshaw County,Industrial,7
AL,Crenshaw County,Multi-Family,6
AL,Crenshaw County,Office,10
AL,Crenshaw County,Retail,41
AL,Crenshaw County,Specialty,9
AL,Cullman County,Flex,9
AL,Cullman County,Health Care,6
AL,Cullman County,Hospitality,10
AL,Cullman County,Industrial,96
AL,Cullman County,Multi-Family,34
AL,Cullman County,Office,97
AL,Cullman County,Retail,337
AL,Cullman County,Specialty,21
AL,Dale County,Flex,5
AL,Dale County,Health Care,2
AL,Dale County,Hospitality,4
AL,Dale County,Industrial,57
AL,Dale County,Multi-Family,26
AL,Dale County,Office,37
AL,Dale County,Retail,163
AL,Dale County,Specialty,20
AL,Dale County,Sports & Entertainment,1
AL,Dallas County,Flex,4
AL,Dallas County,Health Care,5
AL,Dallas County,Hospitality,6
AL,Dallas County,Industrial,47
AL,Dallas County,Multi-Family,21
AL,Dallas County,Office,39
AL,Dallas County,Retail,160
AL,Dallas County,Specialty,14
AL,Dallas County,Sports & Entertainment,4
AL,DeKalb County,Flex,6
AL,DeKalb County,Health Care,1
AL,DeKalb County,Hospitality,4
AL,DeKalb County,Industrial,69
AL,DeKalb County,Multi-Family,21
AL,DeKalb County,Office,36
AL,DeKalb County,Retail,160
AL,DeKalb County,Specialty,17
AL,Elmore County,Flex,16
AL,Elmore County,Health Care,3
AL,Elmore County,Hospitality,10
AL,Elmore County,Industrial,49
AL,Elmore County,Multi-Family,25
AL,Elmore County,Office,82
AL,Elmore County,Retail,317
AL,Elmore County,Specialty,31
AL,Elmore County,Sports & Entertainment,3
AL,Escambia County,Flex,5
AL,Escambia County,Health Care,4
AL,Escambia County,Hospitality,6
AL,Escambia County,Industrial,28
AL,Escambia County,Multi-Family,31
AL,Escambia County,Office,39
AL,Escambia County,Retail,178
AL,Escambia County,Specialty,17
AL,Escambia County,Sports & Entertainment,1
AL,Etowah County,Flex,31
AL,Etowah County,Health Care,9
AL,Etowah County,Hospitality,14
AL,Etowah County,Industrial,127
AL,Etowah County,Multi-Family,45
AL,Etowah County,Office,244
AL,Etowah County,Retail,552
AL,Etowah County,Specialty,32
AL,Etowah County,Sports & Entertainment,3
AL,Fayette County,Industrial,3
AL,Fayette County,Multi-Family,8
AL,Fayette County,Office,5
AL,Fayette County,Retail,41
AL,Fayette County,Specialty,5
AL,Franklin County,Flex,4
AL,Franklin County,Health Care,3
AL,Franklin County,Hospitality,3
AL,Franklin County,Industrial,15
AL,Franklin County,Multi-Family,13
AL,Franklin County,Office,17
AL,Franklin County,Retail,93
AL,Franklin County,Specialty,13
AL,Geneva County,Flex,1
AL,Geneva County,Industrial,9
AL,Geneva County,Multi-Family,10
AL,Geneva County,Office,12
AL,Geneva County,Retail,78
AL,Geneva County,Specialty,11
AL,Greene County,Health Care,1
AL,Greene County,Hospitality,3
AL,Greene County,Industrial,1
AL,Greene County,Multi-Family,4
AL,Greene County,Office,3
AL,Greene County,Retail,17
AL,Greene County,Specialty,3
AL,Greene County,Sports & Entertainment,1
AL,Hale County,Flex,2
AL,Hale County,Hospitality,1
AL,Hale County,Industrial,6
AL,Hale County,Multi-Family,5
AL,Hale County,Office,1
AL,Hale County,Retail,25
AL,Hale County,Specialty,6
AL,Henry County,Flex,1
AL,Henry County,Industrial,13
AL,Henry County,Multi-Family,4
AL,Henry County,Office,14
AL,Henry County,Retail,53
AL,Henry County,Specialty,6
AL,Houston County,Flex,23
AL,Houston County,Health Care,7
AL,Houston County,Hospitality,17
AL,Houston County,Industrial,174
AL,Houston County,Multi-Family,54
AL,Houston County,Office,367
AL,Houston County,Retail,623
AL,Houston County,Specialty,42
AL,Houston County,Sports & Entertainment,1
AL,Jackson County,Flex,4
AL,Jackson County,Health Care,1
AL,Jackson County,Hospitality,3
AL,Jackson County,Industrial,47
AL,Jackson County,Multi-Family,24
AL,Jackson County,Office,29
AL,Jackson County,Retail,118
AL,Jackson County,Specialty,18
AL,Jefferson County,Flex,405
AL,Jefferson County,Health Care,71
AL,Jefferson County,Hospitality,139
AL,Jefferson County,Industrial,2291
AL,Jefferson County,Multi-Family,801
AL,Jefferson County,Office,2339
AL,Jefferson County,Retail,5150
AL,Jefferson County,Specialty,700
AL,Jefferson County,Sports & Entertainment,41
AL,Lamar County,Industrial,6
AL,Lamar County,Multi-Family,6
AL,Lamar County,Office,4
AL,Lamar County,Retail,25
AL,Lamar County,Specialty,6
AL,Lauderdale County,Flex,12
AL,Lauderdale County,Health Care,7
AL,Lauderdale County,Hospitality,2
AL,Lauderdale County,Industrial,118
AL,Lauderdale County,Multi-Family,88
AL,Lauderdale County,Office,120
AL,Lauderdale County,Retail,349
AL,Lauderdale County,Specialty,38
AL,Lauderdale County,Sports & Entertainment,1
AL,Lawrence County,Flex,1
AL,Lawrence County,Health Care,3
AL,Lawrence County,Hospitality,1
AL,Lawrence County,Industrial,12
AL,Lawrence County,Multi-Family,9
AL,Lawrence County,Office,9
AL,Lawrence County,Retail,68
AL,Lawrence County,Specialty,6
AL,Lee County,Flex,32
AL,Lee County,Health Care,8
AL,Lee County,Hospitality,16
AL,Lee County,Industrial,126
AL,Lee County,Multi-Family,162
AL,Lee County,Office,225
AL,Lee County,Retail,502
AL,Lee County,Specialty,31
AL,Limestone County,Flex,9
AL,Limestone County,Health Care,2
AL,Limestone County,Hospitality,8
AL,Limestone County,Industrial,93
AL,Limestone County,Multi-Family,33
AL,Limestone County,Office,59
AL,Limestone County,Retail,206
AL,Limestone County,Specialty,21
AL,Lowndes County,Industrial,7
AL,Lowndes County,Multi-Family,6
AL,Lowndes County,Office,3
AL,Lowndes County,Retail,25
AL,Lowndes County,Specialty,4
AL,Macon County,Health Care,3
AL,Macon County,Hospitality,1
AL,Macon County,Industrial,3
AL,Macon County,Multi-Family,17
AL,Macon County,Office,8
AL,Macon County,Retail,40
AL,Macon County,Specialty,6
AL,Madison County,Flex,183
AL,Madison County,Health Care,26
AL,Madison County,Hospitality,55
AL,Madison County,Industrial,615
AL,Madison County,Multi-Family,380
AL,Madison County,Office,1046
AL,Madison County,Retail,1597
AL,Madison County,Specialty,202
AL,Madison County,Sports & Entertainment,13
AL,Marengo County,Flex,2
AL,Marengo County,Hospitality,4
AL,Marengo County,Industrial,13
AL,Marengo County,Multi-Family,12
AL,Marengo County,Office,19
AL,Marengo County,Retail,94
AL,Marengo County,Specialty,9
AL,Marion County,Flex,1
AL,Marion County,Health Care,2
AL,Marion County,Hospitality,4
AL,Marion County,Industrial,21
AL,Marion County,Multi-Family,14
AL,Marion County,Office,28
AL,Marion County,Retail,104
AL,Marion County,Specialty,8
AL,Marshall County,Flex,7
AL,Marshall County,Hospitality,9
AL,Marshall County,Industrial,66
AL,Marshall County,Multi-Family,43
AL,Marshall County,Office,121
AL,Marshall County,Retail,457
AL,Marshall County,Specialty,21
AL,Marshall County,Sports & Entertainment,2
AL,Mobile County,Flex,281
AL,Mobile County,Health Care,44
AL,Mobile County,Hospitality,97
AL,Mobile County,Industrial,1109
AL,Mobile County,Multi-Family,343
AL,Mobile County,Office,1622
AL,Mobile County,Retail,3196
AL,Mobile County,Specialty,349
AL,Mobile County,Sports & Entertainment,13
AL,Monroe County,Health Care,1
AL,Monroe County,Hospitality,2
AL,Monroe County,Industrial,18
AL,Monroe County,Multi-Family,7
AL,Monroe County,Office,7
AL,Monroe County,Retail,58
AL,Monroe County,Specialty,9
AL,Montgomery County,Flex,199
AL,Montgomery County,Health Care,30
AL,Montgomery County,Hospitality,69
AL,Montgomery County,Industrial,484
AL,Montgomery County,Multi-Family,195
AL,Montgomery County,Office,1222
AL,Montgomery County,Retail,1557
AL,Montgomery County,Specialty,381
AL,Montgomery County,Sports & Entertainment,14
AL,Morgan County,Flex,43
AL,Morgan County,Health Care,9
AL,Morgan County,Hospitality,9
AL,Morgan County,Industrial,281
AL,Morgan County,Multi-Family,85
AL,Morgan County,Office,190
AL,Morgan County,Retail,506
AL,Morgan County,Specialty,56
AL,Morgan County,Sports & Entertainment,1
AL,Perry County,Hospitality,1
AL,Perry County,Industrial,2
AL,Perry County,Multi-Family,8
AL,Perry County,Office,8
AL,Perry County,Retail,29
AL,Perry County,Specialty,4
AL,Pickens County,Hospitality,1
AL,Pickens County,Industrial,2
AL,Pickens County,Multi-Family,8
AL,Pickens County,Office,7
AL,Pickens County,Retail,35
AL,Pickens County,Specialty,4
AL,Pike County,Flex,3
AL,Pike County,Health Care,2
AL,Pike County,Hospitality,5
AL,Pike County,Industrial,17
AL,Pike County,Multi-Family,32
AL,Pike County,Office,43
AL,Pike County,Retail,144
AL,Pike County,Specialty,10
AL,Randolph County,Flex,1
AL,Randolph County,Health Care,3
AL,Randolph County,Hospitality,2
AL,Randolph County,Industrial,9
AL,Randolph County,Multi-Family,8
AL,Randolph County,Office,12
AL,Randolph County,Retail,51
AL,Randolph County,Specialty,12
AL,Russell County,Flex,4
AL,Russell County,Health Care,1
AL,Russell County,Hospitality,5
AL,Russell County,Industrial,43
AL,Russell County,Multi-Family,52
AL,Russell County,Office,56
AL,Russell County,Retail,215
AL,Russell County,Specialty,23
AL,Shelby County,Flex,266
AL,Shelby County,Health Care,13
AL,Shelby County,Hospitality,31
AL,Shelby County,Industrial,485
AL,Shelby County,Multi-Family,61
AL,Shelby County,Office,614
AL,Shelby County,Retail,1076
AL,Shelby County,Specialty,102
AL,Shelby County,Sports & Entertainment,12
AL,St. Clair County,Flex,25
AL,St. Clair County,Health Care,3
AL,St. Clair County,Hospitality,9
AL,St. Clair County,Industrial,161
AL,St. Clair County,Multi-Family,27
AL,St. Clair County,Office,112
AL,St. Clair County,Retail,422
AL,St. Clair County,Specialty,45
AL,St. Clair County,Sports & Entertainment,1
AL,Sumter County,Industrial,4
AL,Sumter County,Multi-Family,6
AL,Sumter County,Office,7
AL,Sumter County,Retail,27
AL,Sumter County,Specialty,6
AL,Talladega County,Flex,23
AL,Talladega County,Health Care,5
AL,Talladega County,Hospitality,18
AL,Talladega County,Industrial,180
AL,Talladega County,Multi-Family,41
AL,Talladega County,Office,177
AL,Talladega County,Retail,679
AL,Talladega County,Specialty,59
AL,Talladega County,Sports & Entertainment,2
AL,Tallapoosa County,Flex,2
AL,Tallapoosa County,Health Care,1
AL,Tallapoosa County,Hospitality,2
AL,Tallapoosa County,Industrial,29
AL,Tallapoosa County,Multi-Family,16
AL,Tallapoosa County,Office,50
AL,Tallapoosa County,Retail,140
AL,Tallapoosa County,Specialty,15
AL,Tallapoosa County,Sports & Entertainment,1
AL,Tuscaloosa County,Flex,74
AL,Tuscaloosa County,Health Care,10
AL,Tuscaloosa County,Hospitality,41
AL,Tuscaloosa County,Industrial,263
AL,Tuscaloosa County,Multi-Family,234
AL,Tuscaloosa County,Office,563
AL,Tuscaloosa County,Retail,979
AL,Tuscaloosa County,Specialty,91
AL,Tuscaloosa County,Sports & Entertainment,2
AL,Walker County,Flex,9
AL,Walker County,Health Care,5
AL,Walker County,Hospitality,7
AL,Walker County,Industrial,38
AL,Walker County,Multi-Family,20
AL,Walker County,Office,60
AL,Walker County,Retail,281
AL,Walker County,Specialty,31
AL,Walker County,Sports & Entertainment,1
AL,Washington County,Flex,2
AL,Washington County,Hospitality,1
AL,Washington County,Industrial,8
AL,Washington County,Multi-Family,4
AL,Washington County,Office,2
AL,Washington County,Retail,22
AL,Washington County,Specialty,11
AL,Wilcox County,Hospitality,1
AL,Wilcox County,Industrial,3
AL,Wilcox County,Multi-Family,8
AL,Wilcox County,Office,2
AL,Wilcox County,Retail,16
AL,Wilcox County,Specialty,5
AL,Winston County,Flex,2
AL,Winston County,Health Care,1
AL,Winston County,Hospitality,1
AL,Winston County,Industrial,21
AL,Winston County,Multi-Family,6
AL,Winston County,Office,10
AL,Winston County,Retail,68
AL,Winston County,Specialty,8
AR,Arkansas County,Flex,2
AR,Arkansas County,Health Care,2
AR,Arkansas County,Hospitality,5
AR,Arkansas County,Industrial,5
AR,Arkansas County,Multi-Family,4
AR,Arkansas County,Office,23
AR,Arkansas County,Retail,64
AR,Arkansas County,Specialty,15
AR,Ashley County,Hospitality,1
AR,Ashley County,Industrial,10
AR,Ashley County,Multi-Family,2
AR,Ashley County,Office,11
AR,Ashley County,Retail,58
AR,Ashley County,Specialty,7
AR,Baxter County,Flex,3
AR,Baxter County,Health Care,4
AR,Baxter County,Hospitality,23
AR,Baxter County,Industrial,46
AR,Baxter County,Multi-Family,54
AR,Baxter County,Office,69
AR,Baxter County,Retail,272
AR,Baxter County,Specialty,51
AR,Baxter County,Sports & Entertainment,1
AR,Benton County,Flex,64
AR,Benton County,Health Care,32
AR,Benton County,Hospitality,62
AR,Benton County,Industrial,496
AR,Benton County,Multi-Family,228
AR,Benton County,Office,850
AR,Benton County,Retail,1513
AR,Benton County,Specialty,163
AR,Benton County,Sports & Entertainment,10
AR,Boone County,Flex,4
AR,Boone County,Hospitality,6
AR,Boone County,Industrial,29
AR,Boone County,Multi-Family,29
AR,Boone County,Office,28
AR,Boone County,Retail,139
AR,Boone County,Specialty,20
AR,Boone County,Sports & Entertainment,1
AR,Bradley County,Hospitality,2
AR,Bradley County,Industrial,12
AR,Bradley County,Multi-Family,3
AR,Bradley County,Office,8
AR,Bradley County,Retail,40
AR,Bradley County,Specialty,5
AR,Calhoun County,Health Care,1
AR,Calhoun County,Hospitality,1
AR,Calhoun County,Industrial,6
AR,Calhoun County,Multi-Family,2
AR,Calhoun County,Office,4
AR,Calhoun County,Retail,10
AR,Calhoun County,Specialty,1
AR,Carroll County,Flex,3
AR,Carroll County,Health Care,3
AR,Carroll County,Hospitality,92
AR,Carroll County,Industrial,15
AR,Carroll County,Multi-Family,27
AR,Carroll County,Office,31
AR,Carroll County,Retail,149
AR,Carroll County,Specialty,22
AR,Carroll County,Sports & Entertainment,4
AR,Chicot County,Health Care,1
AR,Chicot County,Hospitality,3
AR,Chicot County,Industrial,2
AR,Chicot County,Multi-Family,8
AR,Chicot County,Office,3
AR,Chicot County,Retail,27
AR,Chicot County,Specialty,5
AR,Clark County,Flex,1
AR,Clark County,Health Care,3
AR,Clark County,Hospitality,7
AR,Clark County,Industrial,11
AR,Clark County,Multi-Family,23
AR,Clark County,Office,29
AR,Clark County,Retail,98
AR,Clark County,Specialty,14
AR,Clark County,Sports & Entertainment,1
AR,Clay County,Health Care,1
AR,Clay County,Industrial,6
AR,Clay County,Multi-Family,6
AR,Clay County,Office,8
AR,Clay County,Retail,41
AR,Clay County,Specialty,7
AR,Clay County,Sports & Entertainment,1
AR,Cleburne County,Flex,5
AR,Cleburne County,Health Care,2
AR,Cleburne County,Hospitality,15
AR,Cleburne County,Industrial,35
AR,Cleburne County,Multi-Family,14
AR,Cleburne County,Office,52
AR,Cleburne County,Retail,168
AR,Cleburne County,Specialty,18
AR,Cleveland County,Industrial,3
AR,Cleveland County,Office,6
AR,Cleveland County,Retail,19
AR,Cleveland County,Specialty,3
AR,Columbia County,Flex,1
AR,Columbia County,Health Care,2
AR,Columbia County,Hospitality,3
AR,Columbia County,Industrial,11
AR,Columbia County,Multi-Family,13
AR,Columbia County,Office,21
AR,Columbia County,Retail,106
AR,Columbia County,Specialty,12
AR,Conway County,Flex,2
AR,Conway County,Health Care,2
AR,Conway County,Hospitality,4
AR,Conway County,Industrial,18
AR,Conway County,Multi-Family,4
AR,Conway County,Office,18
AR,Conway County,Retail,73
AR,Conway County,Specialty,9
AR,Craighead County,Flex,20
AR,Craighead County,Health Care,12
AR,Craighead County,Hospitality,19
AR,Craighead County,Industrial,265
AR,Craighead County,Multi-Family,160
AR,Craighead County,Office,268
AR,Craighead County,Retail,638
AR,Craighead County,Specialty,60
AR,Craighead County,Sports & Entertainment,3
AR,Crawford County,Flex,6
AR,Crawford County,Health Care,2
AR,Crawford County,Hospitality,8
AR,Crawford County,Industrial,75
AR,Crawford County,Multi-Family,41
AR,Crawford County,Office,54
AR,Crawford County,Retail,214
AR,Crawford County,Specialty,35
AR,Crittenden County,Flex,8
AR,Crittenden County,Health Care,1
AR,Crittenden County,Hospitality,23
AR,Crittenden County,Industrial,151
AR,Crittenden County,Multi-Family,51
AR,Crittenden County,Office,114
AR,Crittenden County,Retail,354
AR,Crittenden County,Specialty,38
AR,Crittenden County,Sports & Entertainment,3
AR,Cross County,Health Care,2
AR,Cross County,Industrial,7
AR,Cross County,Multi-Family,4
AR,Cross County,Office,9
AR,Cross County,Retail,49
AR,Cross County,Specialty,8
AR,Cross County,Sports & Entertainment,1
AR,Dallas County,Flex,1
AR,Dallas County,Industrial,2
AR,Dallas County,Multi-Family,3
AR,Dallas County,Office,12
AR,Dallas County,Retail,25
AR,Dallas County,Specialty,3
AR,Desha County,Health Care,1
AR,Desha County,Hospitality,3
AR,Desha County,Industrial,4
AR,Desha County,Multi-Family,9
AR,Desha County,Office,7
